Figure Type: line chart
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"line chart","closed-ended infinite answer set visual","0.42","0.47","0.42","0.42","0.46","0.41","0.94","0.94","0.93"
"line chart","closed-ended infinite answer set non-visual","0.52","0.53","0.53","0.52","0.53","0.53","0.93","0.94","0.92"
"line chart","closed-ended finite answer set binary visual","0.77","0.77","0.77","0.77","0.77","0.77","1.0","1.0","1.0"
"line chart","closed-ended finite answer set binary non-visual","0.79","0.79","0.79","0.79","0.79","0.79","1.0","1.0","1.0"
"line chart","closed-ended finite answer set non-binary visual","0.72","0.73","0.73","0.72","0.73","0.73","0.99","0.98","0.99"
"line chart","closed-ended finite answer set non-binary non-visual","0.63","0.63","0.63","0.63","0.63","0.63","0.98","0.98","0.98"
"line chart","unanswerable","0.38","0.24","0.94","0.37","0.23","0.93","0.91","0.86","0.96"


Figure Type: Line Chart,Table
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"Line Chart,Table","closed-ended infinite answer set visual","0.4","0.33","0.5","0.4","0.33","0.5","0.95","0.94","0.95"
"Line Chart,Table","closed-ended infinite answer set non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","closed-ended finite answer set binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","closed-ended finite answer set binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","closed-ended finite answer set non-binary visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","closed-ended finite answer set non-binary non-visual","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0"
"Line Chart,Table","unanswerable","0.41","0.25","1.0","0.41","0.25","1.0","0.92","0.87","0.97"


Figure Type: tree
QA Type: closed-ended infinite answer set visual
"figure_type","qa_type","rouge1_fmeasure","rouge1_precision","rouge1_recall","rougeL_fmeasure","rougeL_precision","rougeL_recall","bertscore_f1","bertscore_precision","bertscore_recall"
"tree","closed-ended infinite answer set visual","0.57","0.61","0.56","0.57","0.61","0.56","0.93","0.94","0.93"
"tree","closed-ended infinite answer set non-visual","0.72","0.72","0.72","0.72","0.72","0.72","0.97","0.97","0.97"
"tree","closed-ended finite answer set binary visual","0.57","0.57","0.57","0.57","0.57","0.57","1.0","1.0","1.0"
"tree","closed-ended finite answer set binary non-visual","0.93","0.93","0.93","0.93","0.93","0.93","1.0","1.0","1.0"
"tree","closed-ended finite answer set non-binary visual","0.68","0.66","0.75","0.68","0.66","0.75","0.97","0.96","0.97"
"tree","closed-ended finite answer set non-binary non-visual","0.73","0.75","0.71","0.73","0.75","0.71","0.97","0.98","0.96"
